id;name;slug;code;ief;type_etablissement;nomce;email;phone;address;created_date;save_by
6;CEM AHOUNE SANE;cem-ahoune-sane;iE0HoAXl;Bignona1;Collège;Principal CEM;ahoune.sane@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
7;CEM ARFANG BESSIRE SONKO;cem-arfang-bessire-sonko;soeSMQZu;Bignona1;Collège;Principal CEM;arfang.bessire.sonko@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
8;CEM BADIOURE;cem-badioure;FBKYgwge;Bignona1;Collège;Principal CEM;badioure@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
9;CEM BAILA;cem-baila;BElnGXJS;Bignona1;Collège;Principal CEM;baila@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
10;CEM BRINDIAGO;cem-brindiago;8HNuby9P;Bignona1;Collège;Principal CEM;brindiago@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
11;CEM COUBALAN;cem-coubalan;vwGCTUAd;Bignona1;Collège;Principal CEM;coubalan@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
12;CEM COUBANAO;cem-coubanao;iQnskHPL;Bignona1;Collège;Principal CEM;coubanao@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
13;CEM DIANGO;cem-diango;umPYOOnV;Bignona1;Collège;Principal CEM;diango@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
14;CEM DJIBIDIONE;cem-djibidione;XDFVvMxN;Bignona1;Collège;Principal CEM;djibidione@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
15;CEM MAMPALAGO;cem-mampalago;FMFqGE8c;Bignona1;Collège;Principal CEM;mampalago@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
16;CEM NDIEBA;cem-ndieba;BHGTTWmp;Bignona1;Collège;Principal CEM;ndieba@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
17;CEM NIAMONE 1;cem-niamone-1;qutUcyKB;Bignona1;Collège;Principal CEM;niamone1@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
18;CEM NIAMONE 2;cem-niamone-2;9gk0Byo5;Bignona1;Collège;Principal CEM;niamone2@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
19;CEM NIANKITTE;cem-niankitte;RtMPZVHg;Bignona1;Collège;Principal CEM;niankitte@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
20;CEM OULAMPANE;cem-oulampane;9zrAfoS5;Bignona1;Collège;Principal CEM;oulampane@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
21;CEM OUONCK;cem-ouonck;6b0ypd1A;Bignona1;Collège;Principal CEM;ouonck@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
22;CEM SINDIAN;cem-sindian;B3eTghu7;Bignona1;Collège;Principal CEM;sindian@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
23;CEM SITOUKENE;cem-sitoukene;tju3GX7w;Bignona1;Collège;Principal CEM;sitoukene@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
24;CEM SORBONNE;cem-sorbonne;H4AeI5Gp;Bignona1;Collège;Principal CEM;sorbonne@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
25;CEM SOUDA;cem-souda;PCZdtwns;Bignona1;Collège;Principal CEM;souda@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
26;CEM SOUTOU;cem-soutou;w9ioYDUa;Bignona1;Collège;Principal CEM;soutou@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
27;CEM SUELLE;cem-suelle;pK4auvBB;Bignona1;Collège;Principal CEM;suelle@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
28;CEM TENDIEME;cem-tendieme;HfLnB3Y2;Bignona1;Collège;Principal CEM;tendieme@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
29;CEM TENGHORY ARR;cem-tenghory-arr;bIMKC8EI;Bignona1;Collège;Principal CEM;tenghory.arr@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
30;CEM TENGHORY TRANSG;cem-tenghory-transg;qXZUspBm;Bignona1;Collège;Principal CEM;tenghory.transg@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
31;CEM TOBOR;cem-tobor;aRVoMzeh;Bignona1;Collège;Principal CEM;tobor@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;1
32;CEM ABENE;cem-abene;X9N3P3aw;Bignona2;Collège;Principal CEM;abene@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
33;CEM AFFINIAM;cem-affiniam;m2K28vui;Bignona2;Collège;Principal CEM;affiniam@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
34;CEM BADIANA;cem-badiana;273Dnlvy;Bignona2;Collège;Principal CEM;badiana@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
35;CEM BALINGORE;cem-balingore;2Dozq9nA;Bignona2;Collège;Principal CEM;balingore@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
36;CEM BANDJIKAKY;cem-bandjikaky;CW4Ft9uZ;Bignona2;Collège;Principal CEM;bandjikaky@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
37;CEM BARANLIR;cem-baranlir;OziubkGp;Bignona2;Collège;Principal CEM;baranlir@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
38;CEM BITI BITI;cem-bitibiti;TJ4A46LA;Bignona2;Collège;Principal CEM;bitibiti@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
39;CEM DARSALAM CHERIF;cem-darsalam-cherif;WXFRllvG;Bignona2;Collège;Principal CEM;darsalam.cherif@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
40;CEM DIANKI;cem-dianki;cwrnNYod;Bignona2;Collège;Principal CEM;dianki@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
41;CEM DIANNAH;cem-diannah;BfbZDl6O;Bignona2;Collège;Principal CEM;diannah@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
42;CEM DIATOCK;cem-diatock;smcOhdpt;Bignona2;Collège;Principal CEM;diatock@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
43;CEM DIEGOUNE;cem-diegoune;lFsgeSdT;Bignona2;Collège;Principal CEM;diegoune@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
44;CEM DIOULOULOU;cem-diouloulou;y1cmmlXx;Bignona2;Collège;Principal CEM;diouloulou@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
45;CEM DJINAKY;cem-djinaky;aP3K3P8Y;Bignona2;Collège;Principal CEM;djinaky@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
46;CEM DOMBONDIR;cem-dombondir;TD2lEVQO;Bignona2;Collège;Principal CEM;dombondir@caosp.zig;33 991 11 59;Bignona;2024-01-19 19:46:55;2
