id;slug;effectif;versement;quote_date_time;last_updated_date;paid;is_ok;comments;annee_scolaire_id;etablissement_id;save_by_id
6;cem-ahoune-sane-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;6;4
7;cem-arfang-bessire-sonko-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;7;4
8;cem-badioure-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;8;4
9;cem-baila-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;9;4
10;cem-brindiago-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;10;4
11;cem-coubalan-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;11;4
12;cem-coubanao-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;12;4
13;cem-diango-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;13;4
14;cem-djibidione-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;14;4
15;cem-mampalago-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;15;4
16;cem-ndieba-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;16;4
17;cem-niamone-1-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;17;4
18;cem-niamone-2-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;18;4
19;cem-niankitte-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;19;4
20;cem-oulampane-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;20;4
21;cem-ouonck-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;21;4
22;cem-sindian-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;22;4
23;cem-sitoukene-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;23;4
24;cem-sorbonne-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;24;4
25;cem-souda-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;25;4
26;cem-soutou-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;26;4
27;cem-suelle-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;27;4
28;cem-tendieme-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;28;4
29;cem-tenghory-arr-2023-2024;0;0;2024-01-20 10:35:27.44859+00;2024-01-20 10:35:27.44859+00;f;f;Numéro du quitus de payement;1;29;4
